,moltype,stereo_type,nm_b3lyp,nm_wf,nm_wfr,nm_wf_refine
569,ketone,trans,268.2,280,272,273
570,ketone,trans,275.5,262,272,269
571,ketone,trans,284.2,280,283,284
572,ketone,trans,262.1,280,269,265
573,ketone,cis,270.4,262,269,266
574,ketone,cis,283.7,280,272,270
575,ketone,no_stereo,266.4,280,272,274
576,ketone,trans,287.7,280,272,273
577,ketone,trans,279.6,280,283,273
578,ketone,cis,274.7,280,272,270
579,ketone,cis,266.4,280,272,270
580,ketone,cis,279.1,262,272,266
581,ketone,cis,265.8,280,272,270
582,ketone,no_stereo,269.3,262,272,275
583,ketone,trans,280.9,280,283,284
584,ketone,cis,262.3,280,272,262
585,ketone,cis,276.4,262,272,271
586,ketone,cis,293.7,280,283,281
587,ketone,cis,279.6,280,283,270
588,ketone,cis,296.1,280,283,281
589,ketone,no_stereo,295.0,280,283,285
590,ketone,cis,312.2,280,283,281
591,ketone,cis,283.0,280,283,281
592,ketone,cis,283.1,280,269,262
593,ketone,trans,279.2,280,272,273
594,ketone,trans,283.9,280,272,265
595,ketone,trans,287.4,280,283,284
596,ketone,cis,257.9,280,264,262
597,ketone,trans,280.6,262,269,269
598,ketone,trans,272.4,280,272,273
599,ketone,trans,274.1,262,272,274
600,ketone,trans,269.8,280,283,284
601,ketone,trans,283.4,280,264,265
602,ketone,no_stereo,217.1,227,231,231
603,ketone,cis,235.9,245,234,231
604,ketone,cis,225.0,227,234,227
605,ketone,cis,235.2,245,245,242
606,ketone,cis,223.4,245,231,223
607,ketone,trans,234.4,245,234,234
608,ketone,no_stereo,224.7,245,234,235
609,ketone,cis,231.9,245,234,231
610,ketone,cis,240.0,245,245,231
611,ketone,trans,237.9,245,234,234
612,ketone,trans,230.1,227,234,230
613,ketone,trans,234.0,245,234,234
614,ketone,no_stereo,233.2,227,234,236
615,ketone,cis,252.9,245,245,242
616,ketone,trans,239.2,245,234,226
617,ketone,trans,243.2,245,245,245
618,ketone,trans,259.6,245,245,234
619,ketone,trans,244.5,245,245,245
620,ketone,no_stereo,251.5,245,245,246
621,ketone,trans,255.1,245,245,245
622,ketone,trans,222.8,245,231,226
623,ketone,cis,233.0,245,234,231
624,ketone,cis,222.9,245,234,223
625,ketone,cis,253.5,245,245,242
626,ketone,no_stereo,263.8,245,226,227
627,ketone,no_stereo,244.0,237,242,243
628,ketone,no_stereo,215.0,225,223,226
629,ketone,no_stereo,263.8,280,263,264
630,ketone,no_stereo,258.3,250,241,243
631,ketone,no_stereo,267.5,242,262,264
632,ketone,no_stereo,244.1,230,240,242
633,ketone,no_stereo,294.7,270,283,285
634,ketone,no_stereo,265.8,240,250,253
635,ketone,no_stereo,276.0,280,264,266
636,ketone,no_stereo,245.7,250,250,253
637,ketone,trans,220.9,227,231,230
638,ketone,trans,220.8,245,234,234
639,ketone,trans,232.0,227,234,235
640,ketone,trans,240.2,245,245,245
641,ketone,trans,218.4,245,226,226
642,ketone,cis,210.3,227,231,227
643,ketone,cis,228.1,245,234,231
